Id;Source;Target;Type;weight;timeset
1.0;063a421d185f6d86048664dc0699dc90;87c1318ac999d95116a9296070b916ea;undirected;105.0;<[2,2]>
2.0;062f7afc5063e965dbb035cbbfe4b1cf;f958fea0db4dec0ae704697bba8fef8d;undirected;107.0;<[2,2]>
3.0;063a421d185f6d86048664dc0699dc90;b7f6b3a7c2c6612b78b14c3ea6bba083;undirected;105.0;<[2,2]>
4.0;063a421d185f6d86048664dc0699dc90;483aad37766e0b5ee5ca87e15199eb69;undirected;105.0;<[2,2]>
5.0;04c06cb84be4d9f833f28af04050d822;50fa40cde94322c03e11d84076d0b62e;undirected;115.0;<[2,2]>
6.0;063a421d185f6d86048664dc0699dc90;1c282d6a0887ea632100a8a7f3c56994;undirected;105.0;<[2,2]>
7.0;062f7afc5063e965dbb035cbbfe4b1cf;c30ba24cf44e00725338528eb7671572;undirected;107.0;<[2,2]>
8.0;063a421d185f6d86048664dc0699dc90;3f6ee465a3d2ed5e9e25a2878086c339;undirected;105.0;<[2,2]>
9.0;063a421d185f6d86048664dc0699dc90;996bb84db185b996144d9cab0cc78eb7;undirected;105.0;<[2,2]>
10.0;063a421d185f6d86048664dc0699dc90;8dc8e2345719e605a651034fab930896;undirected;105.0;<[2,2]>
11.0;03a56083d1d2e71e88695d136430a818;ac62244b90b592f088e442a2381f7751;undirected;119.0;<[2,2]>
12.0;063a421d185f6d86048664dc0699dc90;1141d6d11897c1065cfe5a83095c0394;undirected;105.0;<[2,2]>
13.0;062f7afc5063e965dbb035cbbfe4b1cf;ef5bf58463ad7705502d7a95442481bd;undirected;107.0;<[2,2]>
14.0;062f7afc5063e965dbb035cbbfe4b1cf;dea5b3bc39e73a667c9aa33a623d3a91;undirected;107.0;<[2,2]>
15.0;04c06cb84be4d9f833f28af04050d822;5d55b403e0dd13d173da85214637061e;undirected;115.0;<[2,2]>
16.0;062f7afc5063e965dbb035cbbfe4b1cf;9ecf4f9102a7a42ea3e3419e609f8816;undirected;107.0;<[2,2]>
17.0;03a56083d1d2e71e88695d136430a818;9704cb219e81df03ceac02c1526d5898;undirected;119.0;<[2,2]>
18.0;062f7afc5063e965dbb035cbbfe4b1cf;07169ea7e1d3b4e00a8dade2cd5ef751;undirected;107.0;<[2,2]>
19.0;03a56083d1d2e71e88695d136430a818;d59371630fe72aa2773de20789e96f60;undirected;119.0;<[2,2]>
20.0;03a56083d1d2e71e88695d136430a818;425d9164122bebd913313edfdd6148f9;undirected;119.0;<[2,2]>
21.0;063a421d185f6d86048664dc0699dc90;0d1276329044eee014a01041e61272d9;undirected;105.0;<[2,2]>
22.0;062f7afc5063e965dbb035cbbfe4b1cf;2d125616add9749eebe43ffacecf182c;undirected;107.0;<[2,2]>
23.0;062f7afc5063e965dbb035cbbfe4b1cf;80e62c1bcd741a6693ab67ad53c3fb52;undirected;107.0;<[2,2]>
24.0;04c06cb84be4d9f833f28af04050d822;d566d78879a0044252faecb2b9fb03d1;undirected;115.0;<[2,2]>
25.0;04c06cb84be4d9f833f28af04050d822;14102e247052b7ec7298b9cf471b9759;undirected;115.0;<[2,2]>
26.0;03a56083d1d2e71e88695d136430a818;5d17f0edbdd663f22f5bb5d7b3e0c5ae;undirected;119.0;<[2,2]>
27.0;03a56083d1d2e71e88695d136430a818;23769497928c784236c5586dee6cb36f;undirected;119.0;<[2,2]>
28.0;063a421d185f6d86048664dc0699dc90;a45d4c532e17d9c3116ca164d13c7c42;undirected;105.0;<[2,2]>
29.0;062f7afc5063e965dbb035cbbfe4b1cf;f721a27231483b4c880bc8ab943d958c;undirected;107.0;<[2,2]>
30.0;063a421d185f6d86048664dc0699dc90;2031b621e1407afc52fa75e2d39d3f1a;undirected;105.0;<[2,2]>
31.0;062f7afc5063e965dbb035cbbfe4b1cf;ffe09d94eb358c0ebaaafdaacb318ced;undirected;107.0;<[2,2]>
32.0;04c06cb84be4d9f833f28af04050d822;156b9c62f7481ab6aeec8f7b18f8c43f;undirected;115.0;<[2,2]>
33.0;062f7afc5063e965dbb035cbbfe4b1cf;cb6a5c9316d14c906f84abb23360d0ed;undirected;107.0;<[2,2]>
34.0;063a421d185f6d86048664dc0699dc90;5df4897281f761b9fde80fd9e7fcecbc;undirected;105.0;<[2,2]>
35.0;03a56083d1d2e71e88695d136430a818;87459fe500dd65ffd8c2085e9ae491d2;undirected;119.0;<[2,2]>
36.0;062f7afc5063e965dbb035cbbfe4b1cf;29ea09f2a990e391298ff327e056ed80;undirected;107.0;<[2,2]>
37.0;062f7afc5063e965dbb035cbbfe4b1cf;6176ad429c9e19130a01e3608d536cf8;undirected;107.0;<[2,2]>
38.0;063a421d185f6d86048664dc0699dc90;5014644214a19a3b6dff4a97e910a333;undirected;109.0;<[2,2]>
39.0;062f7afc5063e965dbb035cbbfe4b1cf;8ceadd92aa49a2c3426a209e930a7cb5;undirected;107.0;<[2,2]>
40.0;03a56083d1d2e71e88695d136430a818;9a8f632002f00cbe7cb81467b6932f52;undirected;119.0;<[2,2]>
